Year,Distance,Stroke,Gender,Rank,DistancesCategory,Result
2020,100,Backstroke,Men,1,near,51
2020,100,Backstroke,Men,2,near,52
2020,100,Backstroke,Men,3,near,52
2020,100,Backstroke,Men,4,near,52
2020,100,Backstroke,Men,4,near,52
2020,100,Backstroke,Men,4,near,52
2020,100,Backstroke,Men,4,near,52
2020,100,Backstroke,Men,4,near,52
2020,100,Breaststroke,Men,1,near,57
2020,100,Breaststroke,Men,2,near,58
2020,100,Breaststroke,Men,3,near,58
2020,100,Breaststroke,Men,4,near,58
2020,100,Breaststroke,Men,4,near,58
2020,100,Breaststroke,Men,4,near,58
2020,100,Breaststroke,Men,4,near,58
2020,100,Breaststroke,Men,4,near,59
2020,100,Butterfly,Men,1,near,49
2020,100,Butterfly,Men,2,near,49
2020,100,Butterfly,Men,3,near,50
2020,100,Butterfly,Men,4,near,50
2020,100,Butterfly,Men,4,near,50
2020,100,Butterfly,Men,4,near,50
2020,100,Butterfly,Men,4,near,51
2020,100,Butterfly,Men,4,near,51
2020,100,Freestyle,Men,1,near,47
2020,100,Freestyle,Men,2,near,47
2020,100,Freestyle,Men,3,near,47
2020,100,Freestyle,Men,4,near,47
2020,100,Freestyle,Men,4,near,47
2020,100,Freestyle,Men,4,near,47
2020,100,Freestyle,Men,4,near,48
2020,100,Freestyle,Men,4,near,48
2020,1500,Freestyle,Men,1,Estafet,879
2020,1500,Freestyle,Men,2,Estafet,880
2020,1500,Freestyle,Men,3,Estafet,880
2020,1500,Freestyle,Men,4,Estafet,885
2020,1500,Freestyle,Men,4,Estafet,895
2020,1500,Freestyle,Men,4,Estafet,895
2020,1500,Freestyle,Men,4,Estafet,903
2020,1500,Freestyle,Men,4,Estafet,904
2020,200,Backstroke,Men,1,near,113
2020,200,Backstroke,Men,2,near,114
2020,200,Backstroke,Men,3,near,114
2020,200,Backstroke,Men,4,near,115
2020,200,Backstroke,Men,4,near,116
2020,200,Backstroke,Men,4,near,116
2020,200,Backstroke,Men,4,near,117
2020,200,Backstroke,Men,4,near,119
2020,200,Breaststroke,Men,1,near,126
2020,200,Breaststroke,Men,2,near,127
2020,200,Breaststroke,Men,3,near,127
2020,200,Breaststroke,Men,4,near,127
2020,200,Breaststroke,Men,4,near,127
2020,200,Breaststroke,Men,4,near,128
2020,200,Breaststroke,Men,4,near,128
2020,200,Breaststroke,Men,4,near,128
2020,200,Butterfly,Men,1,near,111
2020,200,Butterfly,Men,2,near,113
